annee,region,nom_fed,total_license,total_f,total_h,h_1_9,h_10_19,h_20_29,h_30_59,h_60_74,h_75,f_1_9,f_10_19,f_20_29,f_30_59,f_60_74,f_75
2012,Auvergne-Rhône-Alpes,AEROMODELISME,2494.0,61.0,2433.0,20.0,298.0,142.0,1251.0,622.0,100.0,2.0,8.0,5.0,29.0,14.0,3.0
2012,Auvergne-Rhône-Alpes,AEROSTATION,90.0,20.0,70.0,0.0,2.0,3.0,55.0,9.0,1.0,0.0,0.0,3.0,13.0,4.0,0.0
2012,Auvergne-Rhône-Alpes,AIKIDO AIKIBUDO ET AFFINITAIRES,2433.0,664.0,1769.0,114.0,477.0,139.0,935.0,93.0,11.0,62.0,173.0,80.0,317.0,31.0,1.0
2012,Auvergne-Rhône-Alpes,AIKIDO ET BUDO,2486.0,600.0,1875.0,114.0,502.0,139.0,955.0,125.0,7.0,63.0,177.0,76.0,239.0,32.0,1.0
2012,Auvergne-Rhône-Alpes,ATHLETISME,19275.0,8745.0,10510.0,906.0,3628.0,1019.0,4331.0,559.0,64.0,640.0,3646.0,741.0,3334.0,364.0,15.0
2012,Auvergne-Rhône-Alpes,BADMINTON,16366.0,6506.0,9860.0,292.0,3096.0,1826.0,4544.0,95.0,4.0,176.0,1999.0,1587.0,2710.0,31.0,1.0
2012,Auvergne-Rhône-Alpes,BALL-TRAP,1587.0,71.0,1516.0,0.0,95.0,163.0,867.0,352.0,39.0,0.0,10.0,13.0,39.0,9.0,0.0
2012,Auvergne-Rhône-Alpes,BASEBALL ET SOFTBALL,610.0,105.0,503.0,44.0,178.0,136.0,134.0,4.0,0.0,3.0,26.0,27.0,47.0,0.0,0.0
2012,Auvergne-Rhône-Alpes,BASKETBALL,54324.0,22978.0,31458.0,5818.0,13607.0,4427.0,7020.0,665.0,74.0,3404.0,11483.0,3437.0,4534.0,197.0,18.0
2012,Auvergne-Rhône-Alpes,BILLARD,853.0,46.0,807.0,0.0,45.0,64.0,327.0,254.0,117.0,1.0,2.0,9.0,28.0,5.0,1.0
