reg,annee,pop
Auvergne-Rhône-Alpes,2012,7695264
Île-de-France,2012,11898502
Provence-Alpes-Côte d'Azur,2012,4935576
Pays de la Loire,2012,3632614
Occitanie,2012,5626858
Normandie,2012,3322756
Martinique,2012,388364
La Réunion,2012,833944
Nouvelle-Aquitaine,2012,5808594
Guyane,2012,239648
Guadeloupe,2012,403314
Grand Est,2012,5548955
Corse,2012,316257
Centre-Val de Loire,2012,2563586
Bretagne,2012,3237097
Bourgogne-Franche-Comté,2012,2816814
Hauts-de-France,2012,5973098
Martinique,2013,385551
Île-de-France,2013,11959807
Provence-Alpes-Côte d'Azur,2013,4953675
Pays de la Loire,2013,3660852
Occitanie,2013,5683878
Nouvelle-Aquitaine,2013,5844177
Normandie,2013,3328364
La Réunion,2013,835103
Centre-Val de Loire,2013,2570548
Guyane,2013,244118
Guadeloupe,2013,402119
Grand Est,2013,5552388
Corse,2013,320208
Bretagne,2013,3258707
Bourgogne-Franche-Comté,2013,2819783
Auvergne-Rhône-Alpes,2013,7757595
Hauts-de-France,2013,5987883
La Réunion,2014,842767
Île-de-France,2014,12027565
Provence-Alpes-Côte d'Azur,2014,4983438
Pays de la Loire,2014,3690659
Occitanie,2014,5730753
Normandie,2014,3335645
Martinique,2014,383911
Hauts-de-France,2014,6006156
Nouvelle-Aquitaine,2014,5879144
Guadeloupe,2014,400186
Grand Est,2014,5554645
Corse,2014,324212
Guyane,2014,252338
Centre-Val de Loire,2014,2577435
Bretagne,2014,3276543
Bourgogne-Franche-Comté,2014,2820623
Auvergne-Rhône-Alpes,2014,7820966
Provence-Alpes-Côte d'Azur,2015,5007977
Pays de la Loire,2015,3718512
Occitanie,2015,5774185
Nouvelle-Aquitaine,2015,5911482
Normandie,2015,3339131
Martinique,2015,380877
La Réunion,2015,850727
Hauts-de-France,2015,6009976
Île-de-France,2015,12082144
Guadeloupe,2015,397990
Grand Est,2015,5559051
Corse,2015,327283
Centre-Val de Loire,2015,2578592
Bretagne,2015,3293850
Bourgogne-Franche-Comté,2015,2820940
Auvergne-Rhône-Alpes,2015,6507020
Guyane,2015,259865
Île-de-France,2016,12117132
Provence-Alpes-Côte d'Azur,2016,5021928
